"gene","Bahti_H28","Bahti_H30","Bahti_H29","Bahti_H27","W1","W2","W4","W78","W5","W6","W10","W21","W30","W25","W26","W1332","W1351","W1343","W1321","W1312","W1344","W1336","W1337","W1335","W1314","W1319","W1341","Bahti_H19","W1330","Bahti_H16","Bahti_H18","W1350","W1308","Bahti_H15","W1324","W34","W1317","W1323","Bahti_H14","W27","W23","Bahti_H17","W1347","Bahti_H7","W31","Bahti_H12","W1333","W1325","W3","W1318","Bahti_H26","W24","W33","Bahti_H6","W29","W35","Bahti_H2","Bahti_H8","Bahti_H20","W13","W36","W18","Bahti_H13","W7","Bahti_H25","W37","Bahti_H24","Bahti_H10","RF4","W17","W1310","Bahti_H22","W22","W32","RF2","Bahti_H21","Bahti_H5","Greece2","W1340","W1326","W80","Greece1","W9","Bahti_H41","Bahti_H23","Bahti_H45","Bahti_H3","Greece3","W1322","Bahti_H1","product"
"GUT_GENOME000231_1_11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.276352288488212,NA,NA,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,NA,0.276352288488212,0.276352288488212,0.276352288488212,0.276352288488212,NA,0.276352288488212,0.276352288488212,0.276352288488212,0.184234858992141,0.276352288488212,NA,0.0690880721220529,0.276352288488212,0.276352288488212,NA,NA,0.276352288488212,0.276352288488212,0.276352288488212,0.0690880721220529,NA,0.276352288488212,0.276352288488212,NA,NA,NA,NA,0.276352288488212,NA,0.276352288488212,0.276352288488212,NA,0.276352288488212,NA,NA,NA,0.276352288488212,NA,0.276352288488212,0.276352288488212,NA,NA,NA,0.0921174294960706,NA,0.0921174294960706,0,NA,0.276352288488212,0.276352288488212,"No product information"
"GUT_GENOME000231_1_12",NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273994638069705,0,0,0,NA,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,NA,0,0,0,0,NA,0,NA,0,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Thymidylate synthase"
"GUT_GENOME000231_1_13",NA,NA,NA,NA,0,0,0,NA,0,0,0.396204033214709,0,0,0,0.396204033214709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396204033214709,0,0,0,0,0.297153024911032,0,0,0,0,0,0,0,0.297153024911032,0,NA,0.178291814946619,0.396204033214709,0,0,0.0990510083036772,0,0,0,0,0.0742882562277579,0,0,0,0,0,0,0,0.0990510083036772,0,0,0,0.254702592780884,0,0.0990510083036772,0,0,0,0,0,NA,0,0,0.0849008642602947,0,0.0990510083036772,0,0,0,0,"Dihydrofolate reductase"
"GUT_GENOME000231_1_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,"Regulatory protein AsnC"
"GUT_GENOME000231_1_15",NA,NA,0,NA,0,0,0,NA,0.0721866576819409,0.288746630727764,0.288746630727764,0,0,0,0.288746630727764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.288746630727764,0,0,0,0.288746630727764,0.288746630727764,0,0,0,0.288746630727764,0,0,0,0.192497753818509,0,NA,0.144373315363882,0.288746630727764,0,0.144373315363882,0.577493261455527,0,0,0,0,0.288746630727764,0,0,0.288746630727764,0.288746630727764,0.0721866576819409,0.288746630727764,0,0,0,0,0.288746630727764,0,0,0,0.288746630727764,0,0.288746630727764,0,0,NA,0.288746630727764,0,0,0.288746630727764,0,0,0,0,0,"hypothetical protein"
"GUT_GENOME000231_1_16",NA,NA,NA,NA,NA,NA,NA,NA,0.500784929356356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.751177394034535,1.75274725274725,NA,NA,NA,1.00156985871271,NA,NA,NA,NA,NA,NA,1.50235478806907,NA,NA,1.25196232339089,1.50235478806907,NA,NA,NA,NA,1.00156985871271,NA,NA,NA,1.50235478806907,0.500784929356356,1.50235478806907,NA,NA,NA,NA,1.50235478806907,NA,NA,NA,1.50235478806907,NA,NA,NA,NA,NA,1.25196232339089,NA,NA,1.00156985871271,NA,NA,1.00156985871271,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_17",NA,NA,NA,NA,NA,NA,NA,NA,0.26691042047532,NA,0.26691042047532,NA,NA,NA,0.26691042047532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.26691042047532,NA,NA,NA,NA,NA,NA,NA,NA,0.26691042047532,NA,NA,NA,NA,NA,NA,NA,0.26691042047532,NA,NA,NA,NA,NA,NA,NA,0.26691042047532,NA,NA,NA,NA,0.26691042047532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_18",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"hypothetical protein"
"GUT_GENOME000231_1_19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146706586826347,NA,NA,NA,0.293413173652695,NA,NA,NA,NA,0.293413173652695,NA,NA,NA,0.293413173652695,NA,NA,NA,0.146706586826347,NA,NA,NA,NA,NA,NA,0.293413173652695,0.293413173652695,0.146706586826347,NA,NA,0.293413173652695,0.146706586826347,0.293413173652695,NA,0.293413173652695,0.146706586826347,NA,0.293413173652695,NA,0.146706586826347,0.293413173652695,0.293413173652695,0.097804391217565,0.293413173652695,NA,0.0366766467065868,NA,0.293413173652695,0.146706586826347,NA,0.293413173652695,0.293413173652695,NA,0,NA,NA,"Tol-Pal system protein TolQ"
"GUT_GENOME000231_1_21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No product information"
"GUT_GENOME000231_1_22",NA,NA,NA,NA,NA,0,NA,NA,0.224052718286656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28006589785832,NA,NA,NA,0.28006589785832,0.3500823723229,NA,NA,NA,NA,NA,NA,NA,0.28006589785832,NA,NA,0.373421197144426,0.28006589785832,NA,NA,0.28006589785832,NA,NA,NA,0.466776496430533,0.28006589785832,0.3500823723229,NA,0.28006589785832,0.28006589785832,0.28006589785832,0.28006589785832,NA,0.28006589785832,0.3500823723229,NA,0.28006589785832,0.28006589785832,0.28006589785832,0.28006589785832,0.28006589785832,NA,0.28006589785832,NA,NA,NA,0.466776496430533,0.224052718286656,0.3500823723229,0.224052718286656,0.3500823723229,NA,0.466776496430533,NA,NA,"D-aminoacyl-tRNA deacylase"
"GUT_GENOME000231_1_23",NA,NA,NA,NA,0.557553956834533,NA,NA,NA,0.278776978417266,0.278776978417266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557553956834533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20908273381295,NA,NA,NA,0.557553956834533,NA,0,0.278776978417266,NA,NA,NA,0.696942446043166,0.278776978417266,0.185851318944844,NA,0.278776978417266,0.278776978417266,0.278776978417266,0.278776978417266,NA,0.20908273381295,0.185851318944844,NA,0.278776978417266,0.20908273381295,0.557553956834533,0.20908273381295,0.278776978417266,NA,0.278776978417266,NA,NA,NA,0.278776978417266,0.278776978417266,0.278776978417266,0.278776978417266,0.278776978417266,NA,0.139388489208633,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_24",NA,NA,NA,NA,0.679241168774534,0.679241168774534,NA,NA,0.543392935019627,1.08678587003925,0.271696467509813,NA,NA,NA,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.81508940252944,0.679241168774534,0.81508940252944,0.81508940252944,0.81508940252944,NA,NA,0.81508940252944,0.81508940252944,0.81508940252944,0.543392935019627,0.81508940252944,0.81508940252944,0.81508940252944,0.679241168774534,0.81508940252944,NA,0.679241168774534,0.679241168774534,0.81508940252944,NA,0.543392935019627,0.81508940252944,0.81508940252944,0.81508940252944,0.679241168774534,0.81508940252944,0.543392935019627,0.81508940252944,0.679241168774534,0.679241168774534,0.679241168774534,0.679241168774534,0.81508940252944,0.679241168774534,0.543392935019627,0.81508940252944,0.679241168774534,0.543392935019627,0.679241168774534,0.679241168774534,0.679241168774534,0.81508940252944,0.679241168774534,0.271696467509813,0.81508940252944,NA,0.40754470126472,1.35848233754907,0.543392935019627,0.679241168774534,0.543392935019627,0.81508940252944,0.40754470126472,0.81508940252944,0.81508940252944,"(2E%2C6E)-farnesyl diphosphate synthase"
"GUT_GENOME000231_1_25",NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,0,0,NA,0,NA,0,0,0,0,0,0,0,"hypothetical protein"
"GUT_GENOME000231_1_26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.240823871138104,0.140480591497227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.200686559281753,NA,NA,NA,0.160549247425402,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.160549247425402,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0936537276648181,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561922365988909,NA,0.561922365988909,NA,NA,NA,NA,"Cytidylate kinase"
"GUT_GENOME000231_1_27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.281265447355413,NA,NA,NA,NA,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.112506178942165,0.187510298236942,0.187510298236942,0.187510298236942,NA,0.21094908551656,0.187510298236942,0.187510298236942,0.187510298236942,0.168759268413248,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,NA,0.281265447355413,0.112506178942165,0.187510298236942,0.0703163618388532,0.168759268413248,0.187510298236942,0.187510298236942,0.187510298236942,0.187510298236942,NA,0.140632723677706,0.187510298236942,0,0.281265447355413,0.281265447355413,0.281265447355413,0.187510298236942,NA,0.140632723677706,0.187510298236942,0.281265447355413,0.093755149118471,0.112506178942165,NA,0.281265447355413,0.187510298236942,0.281265447355413,0.562530894710826,0.187510298236942,NA,0.281265447355413,0.093755149118471,0.140632723677706,0.281265447355413,0.140632723677706,0.187510298236942,0.281265447355413,0.187510298236942,0.187510298236942,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase"
"GUT_GENOME000231_1_28",NA,NA,NA,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0105829045388219,0,0,0.0153452115812917,0,0,0,0,0,0.0146144872202779,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,"ATP-dependent 6-phosphofructokinase 1"
"GUT_GENOME000231_1_29",NA,NA,NA,NA,0.0634837355718783,0.0634837355718783,NA,NA,0.211612451906261,NA,0.0634837355718783,0.158709338929696,0,0.317418677859392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158709338929696,0,0,0,0.317418677859392,0.0634837355718783,0,0,0,0,0,0,0,0,0,NA,0.158709338929696,0.158709338929696,0,0,0,0,0,0,0.0634837355718783,0.0529031129765652,0,0,0,0.0529031129765652,0,0.0529031129765652,0,0.0634837355718783,0,0,0.0529031129765652,0.0634837355718783,0.158709338929696,0.0634837355718783,0.0529031129765652,0,0.0529031129765652,0,0,NA,0.0529031129765652,0.158709338929696,0,0.0529031129765652,0,0,0.10580622595313,NA,0,"hypothetical protein"
"GUT_GENOME000231_1_30",NA,NA,NA,NA,0.388810531264693,0.43741184767278,NA,NA,1.16643159379408,0.182254936530325,0.486013164080866,NA,NA,1.16643159379408,0.58321579689704,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.124974813620794,0.87482369534556,0.87482369534556,0.87482369534556,NA,0.486013164080866,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.208291356034657,0.87482369534556,NA,0.29160789844852,0.124974813620794,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.87482369534556,0.249949627241588,0.132549044749327,0.87482369534556,0.87482369534556,1.4580394922426,0.14580394922426,0.7290197461213,0.14580394922426,0.87482369534556,0.36450987306065,0.87482369534556,0.87482369534556,0.14580394922426,0.29160789844852,0.124974813620794,0.36450987306065,0.14580394922426,0.87482369534556,0.14580394922426,0.87482369534556,0.87482369534556,NA,0.162004388026955,NA,0.166633084827726,0.129603510421564,0.166633084827726,0.58321579689704,0.162004388026955,0.87482369534556,0.87482369534556,"NADPH dehydrogenase"
"GUT_GENOME000231_1_31",NA,NA,NA,NA,NA,0.29003359462486,NA,NA,0.29003359462486,0,0.29003359462486,NA,NA,0.29003359462486,0.58006718924972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29003359462486,NA,NA,NA,NA,0.29003359462486,NA,NA,NA,0.29003359462486,NA,NA,NA,NA,NA,NA,NA,0.29003359462486,NA,NA,0.29003359462486,NA,NA,NA,NA,0.072508398656215,0.58006718924972,NA,0,0,NA,0,NA,NA,0.58006718924972,NA,0,0.0966778648749534,0.29003359462486,NA,0,NA,0,NA,NA,NA,0,NA,0.58006718924972,0,0.58006718924972,NA,0,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_32",NA,NA,NA,NA,NA,NA,NA,NA,0.304347826086957,NA,NA,NA,NA,NA,NA,0.304347826086957,0,NA,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,NA,0.304347826086957,NA,0.304347826086957,NA,0.304347826086957,0.304347826086957,0.304347826086957,0.304347826086957,NA,NA,0.304347826086957,0.304347826086957,NA,0.304347826086957,0.304347826086957,NA,NA,NA,0.304347826086957,NA,0,NA,NA,NA,NA,NA,0.304347826086957,NA,NA,NA,NA,NA,NA,0.304347826086957,NA,0.304347826086957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.304347826086957,"hypothetical protein"
"GUT_GENOME000231_1_33",NA,NA,NA,NA,0.601959038290294,0.601959038290294,0.0501632531908578,NA,NA,0.601959038290294,0.601959038290294,0.601959038290294,0.150489759572573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.601959038290294,NA,NA,NA,0.0752448797862867,NA,NA,NA,NA,0.300979519145147,NA,NA,NA,NA,NA,NA,NA,0.601959038290294,NA,0.300979519145147,NA,NA,NA,NA,0.105342831700801,NA,0.752448797862867,NA,NA,NA,NA,NA,NA,0.601959038290294,NA,NA,NA,0.45146927871772,NA,0.601959038290294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
"GUT_GENOME000231_1_34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0.113207547169811,NA,NA,NA,NA,NA,NA,0.129380053908356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.20125786163522,NA,0.0377358490566037,NA,NA,NA,NA,NA,0.0696661828737299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.106548279689234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hypothetical protein"
