sample	Location	Young_Adult	Gender.x	Age	RunNumber	Library	SamplingLocation	Group	Groupv2	Order	sample_id	ID on Supplementary Figure 1b	Origin	Model	Adult_Pups	Cage	Gender	Age (Mice (weeks) - Human (Years))	Strain	SampleType	country_abbreviation	institute_abbreviation	within_group_number	sample_type_abbreviation	institute_full	new_sample_label	Analysis of
Bahti_H26	Bern	Adult	Female	16	Run1	TruSeq	Feces	SPF	SPF	11	Bern_1	-	Bern	SPF	Adult	Cage1	Male	16	C57BL/6J	Feces	CH	UNIBE	40	F	University of Bern	CH_UNIBE_40_F	Metagenomics
Bahti_H27	Bern	Adult	Female	16	Run1	TruSeq	Feces	SPF	SPF	12	Bern_2	-	Bern	SPF	Adult	Cage1	Male	16	C57BL/6J	Feces	CH	UNIBE	43	F	University of Bern	CH_UNIBE_43_F	Metagenomics
Bahti_H28	Bern	Adult	Female	16	Run1	TruSeq	Feces	SPF	SPF	13	Bern_3	-	Bern	SPF	Adult	Cage1	Male	16	C57BL/6J	Feces	CH	UNIBE	42	F	University of Bern	CH_UNIBE_42_F	Metagenomics
Bahti_H29	Bern	Adult	Female	16	Run1	TruSeq	Feces	SPF	SPF	14	Bern_4	-	Bern	SPF	Adult	Cage1	Male	16	C57BL/6J	Feces	CH	UNIBE	41	F	University of Bern	CH_UNIBE_41_F	Metagenomics
Bahti_H30	Bern	Adult	Female	16	Run1	TruSeq	Feces	SPF	SPF	15	Bern_5	-	Bern	SPF	Adult	Cage1	Male	16	C57BL/6J	Feces	CH	UNIBE	44	F	University of Bern	CH_UNIBE_44_F	Metagenomics
W108	Bern	Adult	Female	11	Run4	Nextera	Cecum	SPF	SPF	104	Bern_6	-	Bern	SPF	Adult	20	Female	11	C57BL/6J	Cecum	CH	UNIBE	1	C	University of Bern	CH_UNIBE_1_C	Metagenomics
W109	Bern	Adult	Female	11	Run4	Nextera	Cecum	SPF	SPF	105	Bern_7	-	Bern	SPF	Adult	20	Female	11	C57BL/6J	Cecum	CH	UNIBE	43	C	University of Bern	CH_UNIBE_43_C	Metagenomics
W110	Bern	Adult	Female	11	Run4	Nextera	Cecum	SPF	SPF	106	Bern_8	-	Bern	SPF	Adult	20	Female	11	C57BL/6J	Cecum	CH	UNIBE	2	C	University of Bern	CH_UNIBE_2_C	Metagenomics
W111	Bern	Adult	Female	11	Run4	Nextera	Cecum	SPF	SPF	107	Bern_9	-	Bern	SPF	Adult	20	Female	11	C57BL/6J	Cecum	CH	UNIBE	42	C	University of Bern	CH_UNIBE_42_C	Metagenomics
W112	Bern	Adult	Female	11	Run4	Nextera	Cecum	SPF	SPF	108	Bern_10	-	Bern	SPF	Adult	20	Female	11	C57BL/6J	Cecum	CH	UNIBE	5	C	University of Bern	CH_UNIBE_5_C	Metagenomics
W11	CB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	CB_Mus	WildMice	16	CB_1	-	Europe-Germany-Cologne	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Cologne	3	C	Kiel University	DE_CAU_Cologne_3_C	Metagenomics
W12	CB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	CB_Mus	WildMice	17	CB_2	-	Europe-Germany-Cologne	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Cologne	5	C	Kiel University	DE_CAU_Cologne_5_C	Metagenomics
W13	CB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	CB_Mus	WildMice	18	CB_3	-	Europe-Germany-Cologne	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Cologne	2	C	Kiel University	DE_CAU_Cologne_2_C	Metagenomics
W14	CB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	CB_Mus	WildMice	19	CB_4	-	Europe-Germany-Cologne	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Cologne	1	C	Kiel University	DE_CAU_Cologne_1_C	Metagenomics
W15	CB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	CB_Mus	WildMice	20	CB_5	-	Europe-Germany-Cologne	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	DE	CAU_Cologne	4	C	Kiel University	DE_CAU_Cologne_4_C	Metagenomics
W78	Champalimaud	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	159	Champalimaud_1	-	Europe-Portugal-Alges	SPF	Adult	1	Male	8	C57BL/6J	Cecum	PT	CF	4	C	Champalimaud Foundation	PT_CF_4_C	Metagenomics
W79	Champalimaud	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	160	Champalimaud_2	-	Europe-Portugal-Alges	SPF	Adult	1	Male	8	C57BL/6J	Cecum	PT	CF	1	C	Champalimaud Foundation	PT_CF_1_C	Metagenomics
W80	Champalimaud	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	161	Champalimaud_3	-	Europe-Portugal-Alges	SPF	Adult	1	Male	8	C57BL/6J	Cecum	PT	CF	2	C	Champalimaud Foundation	PT_CF_2_C	Metagenomics
W81	Champalimaud	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	162	Champalimaud_4	-	Europe-Portugal-Alges	SPF	Adult	1	Male	8	C57BL/6J	Cecum	PT	CF	5	C	Champalimaud Foundation	PT_CF_5_C	Metagenomics
W82	Champalimaud	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	163	Champalimaud_5	-	Europe-Portugal-Alges	SPF	Adult	1	Male	8	C57BL/6J	Cecum	PT	CF	3	C	Champalimaud Foundation	PT_CF_3_C	Metagenomics
W48	Crick	Adult	Male	7	Run4	Nextera	Cecum	SPF	SPF	129	Crick_1	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Cecum	GB	CRICK	1	C	The Francis Crick Institute	GB_CRICK_1_C	Metagenomics
W49	Crick	Adult	Male	7	Run4	Nextera	Cecum	SPF	SPF	130	Crick_2	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Cecum	GB	CRICK	4	C	The Francis Crick Institute	GB_CRICK_4_C	Metagenomics
W50	Crick	Adult	Male	7	Run4	Nextera	Cecum	SPF	SPF	131	Crick_3	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Cecum	GB	CRICK	2	C	The Francis Crick Institute	GB_CRICK_2_C	Metagenomics
W51	Crick	Adult	Male	7	Run4	Nextera	Cecum	SPF	SPF	132	Crick_4	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Cecum	GB	CRICK	3	C	The Francis Crick Institute	GB_CRICK_3_C	Metagenomics
W52	Crick	Adult	Male	7	Run4	Nextera	Cecum	SPF	SPF	133	Crick_5	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Cecum	GB	CRICK	5	C	The Francis Crick Institute	GB_CRICK_5_C	Metagenomics
Crick1	Crick	Adult	Male	7	Run5	TruSeq	Feces	SPF	SPF	185	Crick_6	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Feces	GB	CRICK	1	F	The Francis Crick Institute	GB_CRICK_1_F	Metagenomics
Crick2	Crick	Adult	Male	7	Run5	TruSeq	Feces	SPF	SPF	186	Crick_7	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Feces	GB	CRICK	2	F	The Francis Crick Institute	GB_CRICK_2_F	Metagenomics
Crick3	Crick	Adult	Male	7	Run5	TruSeq	Feces	SPF	SPF	187	Crick_8	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Feces	GB	CRICK	4	F	The Francis Crick Institute	GB_CRICK_4_F	Metagenomics
Crick4	Crick	Adult	Male	7	Run5	TruSeq	Feces	SPF	SPF	188	Crick_9	-	Europe-England-Crick	SPF	Adult	1	Male	7	C57BL/6J	Feces	GB	CRICK	3	F	The Francis Crick Institute	GB_CRICK_3_F	Metagenomics
W10	DB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	DB_Mus	WildMice	21	DB_1	-	Europe-France-Divonne_les_bains	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_DivonneLesBains	1	C	Kiel University	FR_CAU_DivonneLesBains_1_C	Metagenomics
W6	DB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	DB_Mus	WildMice	22	DB_2	-	Europe-France-Divonne_les_bains	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_DivonneLesBains	3	C	Kiel University	FR_CAU_DivonneLesBains_3_C	Metagenomics
W7	DB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	DB_Mus	WildMice	23	DB_3	-	Europe-France-Divonne_les_bains	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_DivonneLesBains	4	C	Kiel University	FR_CAU_DivonneLesBains_4_C	Metagenomics
W8	DB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	DB_Mus	WildMice	24	DB_4	-	Europe-France-Divonne_les_bains	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_DivonneLesBains	5	C	Kiel University	FR_CAU_DivonneLesBains_5_C	Metagenomics
W9	DB	Adult	Unknown	Unknown	Run3	Nextera	Cecum	DB_Mus	WildMice	25	DB_5	-	Europe-France-Divonne_les_bains	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_DivonneLesBains	2	C	Kiel University	FR_CAU_DivonneLesBains_2_C	Metagenomics
W16	ES	Adult	Unknown	Unknown	Run3	Nextera	Cecum	ES_Mus	WildMice	26	ES_1	-	Europe-France-Espelette	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Espelette	4	C	Kiel University	FR_CAU_Espelette_4_C	Metagenomics
W17	ES	Adult	Unknown	Unknown	Run3	Nextera	Cecum	ES_Mus	WildMice	27	ES_2	-	Europe-France-Espelette	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Espelette	2	C	Kiel University	FR_CAU_Espelette_2_C	Metagenomics
W18	ES	Adult	Unknown	Unknown	Run3	Nextera	Cecum	ES_Mus	WildMice	28	ES_3	-	Europe-France-Espelette	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Espelette	1	C	Kiel University	FR_CAU_Espelette_1_C	Metagenomics
W19	ES	Adult	Unknown	Unknown	Run3	Nextera	Cecum	ES_Mus	WildMice	29	ES_4	-	Europe-France-Espelette	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Espelette	5	C	Kiel University	FR_CAU_Espelette_5_C	Metagenomics
W20	ES	Adult	Unknown	Unknown	Run3	Nextera	Cecum	ES_Mus	WildMice	30	ES_5	-	Europe-France-Espelette	Wild	Adult	Unknown	Unknown	Unknown	WildMice	Cecum	FR	CAU_Espelette	3	C	Kiel University	FR_CAU_Espelette_3_C	Metagenomics
W83	Freiburg	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	164	Freiburg_1	-	Europe-Germany-Freiburg	SPF	Adult	1	Male	8	C57BL/6N	Cecum	DE	ALUF	2	C	University of Freiburg	DE_ALUF_2_C	Metagenomics
W84	Freiburg	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	165	Freiburg_2	-	Europe-Germany-Freiburg	SPF	Adult	1	Male	8	C57BL/6N	Cecum	DE	ALUF	3	C	University of Freiburg	DE_ALUF_3_C	Metagenomics
W85	Freiburg	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	166	Freiburg_3	-	Europe-Germany-Freiburg	SPF	Adult	1	Male	8	C57BL/6N	Cecum	DE	ALUF	5	C	University of Freiburg	DE_ALUF_5_C	Metagenomics
W86	Freiburg	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	167	Freiburg_4	-	Europe-Germany-Freiburg	SPF	Adult	1	Male	8	C57BL/6N	Cecum	DE	ALUF	4	C	University of Freiburg	DE_ALUF_4_C	Metagenomics
W87	Freiburg	Adult	Male	8	Run4	Nextera	Cecum	SPF	SPF	168	Freiburg_5	-	Europe-Germany-Freiburg	SPF	Adult	1	Male	8	C57BL/6N	Cecum	DE	ALUF	1	C	University of Freiburg	DE_ALUF_1_C	Metagenomics
W68	Geneva	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	149	Geneva_1	-	Europe-Switzerland-Geneva	SPF	Adult	1	Male	10	C57BL/6J	Cecum	CH	UNG	4	C	University of Geneva	CH_UNG_4_C	Metagenomics
W69	Geneva	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	150	Geneva_2	-	Europe-Switzerland-Geneva	SPF	Adult	1	Male	10	C57BL/6J	Cecum	CH	UNG	3	C	University of Geneva	CH_UNG_3_C	Metagenomics
W70	Geneva	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	151	Geneva_3	-	Europe-Switzerland-Geneva	SPF	Adult	1	Male	10	C57BL/6J	Cecum	CH	UNG	5	C	University of Geneva	CH_UNG_5_C	Metagenomics
W71	Geneva	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	152	Geneva_4	-	Europe-Switzerland-Geneva	SPF	Adult	1	Male	10	C57BL/6J	Cecum	CH	UNG	2	C	University of Geneva	CH_UNG_2_C	Metagenomics
W72	Geneva	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	153	Geneva_5	-	Europe-Switzerland-Geneva	SPF	Adult	1	Male	10	C57BL/6J	Cecum	CH	UNG	1	C	University of Geneva	CH_UNG_1_C	Metagenomics
W63	Gothenburg	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	144	Gothenburg_1	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Cecum	SE	GU	1	C	University of Gothenburg	SE_GU_1_C	Metagenomics
W64	Gothenburg	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	145	Gothenburg_2	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Cecum	SE	GU	2	C	University of Gothenburg	SE_GU_2_C	Metagenomics
W65	Gothenburg	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	146	Gothenburg_3	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Cecum	SE	GU	3	C	University of Gothenburg	SE_GU_3_C	Metagenomics
W66	Gothenburg	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	147	Gothenburg_4	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Cecum	SE	GU	4	C	University of Gothenburg	SE_GU_4_C	Metagenomics
W67	Gothenburg	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	148	Gothenburg_5	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Cecum	SE	GU	5	C	University of Gothenburg	SE_GU_5_C	Metagenomics
Sweden1	Gothenburg	Adult	Male	10	Run5	TruSeq	Feces	SPF	SPF	201	Gothenburg_6	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Feces	SE	GU	1	F	University of Gothenburg	SE_GU_1_F	Metagenomics
Sweden2	Gothenburg	Adult	Male	10	Run5	TruSeq	Feces	SPF	SPF	202	Gothenburg_7	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Feces	SE	GU	2	F	University of Gothenburg	SE_GU_2_F	Metagenomics
Sweden3	Gothenburg	Adult	Male	10	Run5	TruSeq	Feces	SPF	SPF	203	Gothenburg_8	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Feces	SE	GU	3	F	University of Gothenburg	SE_GU_3_F	Metagenomics
Sweden4	Gothenburg	Adult	Male	10	Run5	TruSeq	Feces	SPF	SPF	204	Gothenburg_9	-	Europe-Sweden-Gothenburg	SPF	Adult	1	Male	10	C57BL/6J	Feces	SE	GU	4	F	University of Gothenburg	SE_GU_4_F	Metagenomics
W53	Greece	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	134	Greece_1	-	Europe-Greece-Athens	SPF	Adult	1	Male	10	C57BL/6J	Cecum	GR	BSRC	1	C	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_1_C	Metagenomics
W54	Greece	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	135	Greece_2	-	Europe-Greece-Athens	SPF	Adult	1	Male	10	C57BL/6J	Cecum	GR	BSRC	2	C	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_2_C	Metagenomics
W55	Greece	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	136	Greece_3	-	Europe-Greece-Athens	SPF	Adult	1	Male	10	C57BL/6J	Cecum	GR	BSRC	3	C	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_3_C	Metagenomics
W56	Greece	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	137	Greece_4	-	Europe-Greece-Athens	SPF	Adult	1	Male	10	C57BL/6J	Cecum	GR	BSRC	4	C	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_4_C	Metagenomics
W57	Greece	Adult	Male	10	Run4	Nextera	Cecum	SPF	SPF	138	Greece_5	-	Europe-Greece-Athens	SPF	Adult	1	Male	10	C57BL/6J	Cecum	GR	BSRC	5	C	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_5_C	Metagenomics
Greece1	Greece	Adult	Male	12	Run5	TruSeq	Feces	SPF	SPF	189	Greece_6	-	Europe-Greece-Athens	SPF	Adult	1	Male	12	C57BL/6J	Feces	GR	BSRC	1	F	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_1_F	Metagenomics
Greece2	Greece	Adult	Male	12	Run5	TruSeq	Feces	SPF	SPF	190	Greece_7	-	Europe-Greece-Athens	SPF	Adult	1	Male	12	C57BL/6J	Feces	GR	BSRC	2	F	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_2_F	Metagenomics
Greece3	Greece	Adult	Male	12	Run5	TruSeq	Feces	SPF	SPF	191	Greece_8	-	Europe-Greece-Athens	SPF	Adult	1	Male	12	C57BL/6J	Feces	GR	BSRC	3	F	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_3_F	Metagenomics
Greece4	Greece	Adult	Male	12	Run5	TruSeq	Feces	SPF	SPF	192	Greece_9	-	Europe-Greece-Athens	SPF	Adult	1	Male	12	C57BL/6J	Feces	GR	BSRC	4	F	Biomedical Sciences Research Center "Alexander Fleming"	GR_BSRC_4_F	Metagenomics
Human1	Human	Adult	Male	38	Run6	SeqWell	Feces	Unknown	Human	250	Human_1	-	Human	Human	Adult	Unknown	Female	23	Human	Feces	CH	UNIBE	1	F	University of Bern	CH_UNIBE_1_F	Metagenomics
Human2	Human	Adult	Male	42	Run6	SeqWell	Feces	Unknown	Human	251	Human_2	-	Human	Human	Adult	Unknown	Male	37	Human	Feces	CH	UNIBE	2	F	University of Bern	CH_UNIBE_2_F	Metagenomics
Human3	Human	Adult	Male	41	Run6	SeqWell	Feces	Unknown	Human	252	Human_3	-	Human	Human	Adult	Unknown	Male	31	Human	Feces	CH	UNIBE	3	F	University of Bern	CH_UNIBE_3_F	Metagenomics
Human4	Human	Adult	Female	25	Run6	SeqWell	Feces	Unknown	Human	253	Human_4	-	Human	Human	Adult	Unknown	Female	24	Human	Feces	CH	UNIBE	4	F	University of Bern	CH_UNIBE_4_F	Metagenomics
Human5	Human	Adult	Male	31	Run6	SeqWell	Feces	Unknown	Human	254	Human_5	-	Human	Human	Adult	Unknown	Female	38	Human	Feces	CH	UNIBE	5	F	University of Bern	CH_UNIBE_5_F	Metagenomics
Human6	Human	Adult	Female	48	Run6	SeqWell	Feces	Unknown	Human	255	Human_6	-	Human	Human	Adult	Unknown	Male	36	Human	Feces	CH	UNIBE	6	F	University of Bern	CH_UNIBE_6_F	Metagenomics
Human7	Human	Adult	Female	38	Run6	SeqWell	Feces	Unknown	Human	256	Human_7	-	Human	Human	Adult	Unknown	Female	38	Human	Feces	CH	UNIBE	7	F	University of Bern	CH_UNIBE_7_F	Metagenomics
Human8	Human	Adult	Female	23	Run6	SeqWell	Feces	Unknown	Human	257	Human_8	-	Human	Human	Adult	Unknown	Female	23	Human	Feces	CH	UNIBE	8	F	University of Bern	CH_UNIBE_8_F	Metagenomics
Human9	Human	Adult	Male	55	Run6	SeqWell	Feces	Unknown	Human	258	Human_9	-	Human	Human	Adult	Unknown	Male	55	Human	Feces	CH	UNIBE	9	F	University of Bern	CH_UNIBE_9_F	Metagenomics
Human10	Human	Adult	Male	36	Run6	SeqWell	Feces	Unknown	Human	259	Human_10	-	Human	Human	Adult	Unknown	Male	36	Human	Feces	CH	UNIBE	10	F	University of Bern	CH_UNIBE_10_F	Metagenomics
Human11	Human	Adult	Male	56	Run6	SeqWell	Feces	Unknown	Human	260	Human_11	-	Human	Human	Adult	Unknown	Male	56	Human	Feces	CH	UNIBE	11	F	University of Bern	CH_UNIBE_11_F	Metagenomics
Human12	Human	Adult	Male	57	Run6	SeqWell	Feces	Unknown	Human	261	Human_12	-	Human	Human	Adult	Unknown	Male	57	Human	Feces	CH	UNIBE	12	F	University of Bern	CH_UNIBE_12_F	Metagenomics
Human13	Human	Adult	Female	24	Run6	SeqWell	Feces	Unknown	Human	262	Human_13	-	Human	Human	Adult	Unknown	Female	24	Human	Feces	CH	UNIBE	13	F	University of Bern	CH_UNIBE_13_F	Metagenomics
Human14	Human	Adult	Female	63	Run6	SeqWell	Feces	Unknown	Human	263	Human_14	-	Human	Human	Adult	Unknown	Female	63	Human	Feces	CH	UNIBE	14	F	University of Bern	CH_UNIBE_14_F	Metagenomics
Human15	Human	Adult	Female	54	Run6	SeqWell	Feces	Unknown	Human	264	Human_15	-	Human	Human	Adult	Unknown	Female	54	Human	Feces	CH	UNIBE	15	F	University of Bern	CH_UNIBE_15_F	Metagenomics
Human16	Human	Adult	Female	35	Run6	SeqWell	Feces	Unknown	Human	265	Human_16	-	Human	Human	Adult	Unknown	Female	35	Human	Feces	CH	UNIBE	16	F	University of Bern	CH_UNIBE_16_F	Metagenomics
W100	Humanitas	Adult	Male	8	Run4	Nextera	Feces	SPF	SPF	96	Humanitas_1	-	Milano1	SPF	Adult	1	Male	8	C57BL/6J	Feces	IT	HUNIMED	3	F	Humanitas University	IT_HUNIMED_3_F	Metagenomics
W101	Humanitas	Adult	Male	8	Run4	Nextera	Feces	SPF	SPF	97	Humanitas_2	-	Milano1	SPF	Adult	1	Male	8	C57BL/6J	Feces	IT	HUNIMED	4	F	Humanitas University	IT_HUNIMED_4_F	Metagenomics
W102	Humanitas	Adult	Male	8	Run4	Nextera	Feces	SPF	SPF	98	Humanitas_3	-	Milano1	SPF	Adult	1	Male	8	C57BL/6J	Feces	IT	HUNIMED	5	F	Humanitas University	IT_HUNIMED_5_F	Metagenomics
W98	Humanitas	Adult	Male	8	Run4	Nextera	Feces	SPF	SPF	179	Humanitas_4	-	Milano1	SPF	Adult	1	Male	8	C57BL/6J	Feces	IT	HUNIMED	1	F	Humanitas University	IT_HUNIMED_1_F	Metagenomics
W99	Humanitas	Adult	Male	8	Run4	Nextera	Feces	SPF	SPF	180	Humanitas_5	-	Milano1	SPF	Adult	1	Male	8	C57BL/6J	Feces	IT	HUNIMED	2	F	Humanitas University	IT_HUNIMED_2_F	Metagenomics
W88	Humanitas	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	169	Humanitas_6	-	Milano1	SPF	Adult	1	Male	12	C57BL/6J	Cecum	IT	HUNIMED	1	C	Humanitas University	IT_HUNIMED_1_C	Metagenomics
W89	Humanitas	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	170	Humanitas_7	-	Milano1	SPF	Adult	1	Male	12	C57BL/6J	Cecum	IT	HUNIMED	2	C	Humanitas University	IT_HUNIMED_2_C	Metagenomics
W90	Humanitas	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	171	Humanitas_8	-	Milano1	SPF	Adult	1	Male	12	C57BL/6J	Cecum	IT	HUNIMED	3	C	Humanitas University	IT_HUNIMED_3_C	Metagenomics
W91	Humanitas	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	172	Humanitas_9	-	Milano1	SPF	Adult	1	Male	12	C57BL/6J	Cecum	IT	HUNIMED	4	C	Humanitas University	IT_HUNIMED_4_C	Metagenomics
W92	Humanitas	Adult	Male	12	Run4	Nextera	Cecum	SPF	SPF	173	Humanitas_10	-	Milano1	SPF	Adult	1	Male	12	C57BL/6J	Cecum	IT	HUNIMED	5	C	Humanitas University	IT_HUNIMED_5_C	Metagenomics
