	Human	Zurich	UK1	UK2	SKO	AN	DB	CB	ES	MC	LO	NAA	SL	Leiden	Bern	Bellinzona	Istanbul	Postech	Crick	Greece	Jagiellonian	Rockefeller	Gothenburg	Humanitas	Jena	Geneva	Champalimaud	Freiburg	RiodeJaneiro
uSGB_41625_(Lachnospiraceae_family)	0	1	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	0
uSGB_35953_(Bacteroidetes_phylum)	0	1	0	0	0	1	0	1	1	0	1	0	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	1
kSGB_21446_(Duncaniella_muris)	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0
uSGB_40880_(Proteobacteria_phylum)	0	1	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	0	0	1	1
kSGB_21445_(Muribaculaceae_bacterium_Isolate_110_HZI)	0	0	0	1	1	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	1	1	1
kSGB_5158_(Lachnospiraceae_bacterium_A4)	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	1	1	0	1	1	1	0	1	0
uSGB_40326_(Bacteroidetes_phylum)	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0
kSGB_2089_(Muribaculaceae_bacterium_Isolate_080_Janvier)	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	0	1	1	1	0	1	0
uSGB_40283_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	0	1	0	1	1	0	0	1	0
uSGB_40205_(Rikenellaceae_family)	0	1	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	1	0	0	0	1	1	0	1	0	0
uSGB_41723_(Lachnospiraceae_family)	0	1	0	0	0	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1
uSGB_41654_(Bacteria_unclassified_phylum)	0	1	0	0	0	1	1	0	0	0	1	0	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0
uSGB_41592_(Bacteria_unclassified_phylum)	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	0
uSGB_41498_(Lachnospiraceae_unclassified_genus)	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	1	1	0	1	0	0	1	1	0	0	0	1	1
uSGB_41484_(Lachnospiraceae_family)	0	1	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	1	0	1	1	1	1	0	1	0	0	0	0
uSGB_41446_(Bacteria_unclassified_family)	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	1	0	0	1	1	1	0
uSGB_2082_(Muribaculaceae_family)	0	0	0	1	0	0	0	1	0	0	0	0	1	1	1	1	0	0	0	1	0	1	0	1	1	0	0	1	1
kSGB_7277_(Lachnospiraceae_bacterium_A2)	0	1	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0
uSGB_40192_(Rikenellaceae_family)	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0
uSGB_41692_(Firmicutes_phylum)	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	0	1	0
uSGB_21440_(Muribaculaceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	1	1	1	0	1	0
kSGB_7040_(Lactobacillus_taiwanensis)	0	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	0	0	0	0	1	1	1	0	0
uSGB_41597_(Bacteria_unclassified_phylum)	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	1	1	0	1	0	0	0	0
uSGB_40310_(Bacteroidetes_phylum)	0	1	0	0	0	1	0	0	0	1	1	0	1	1	1	1	0	1	0	1	0	1	1	0	1	0	0	0	0
uSGB_41494_(Lachnospiraceae_family)	0	1	0	0	0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	1	1	0	1	1	1
uSGB_41574_(Bacteria_unclassified_phylum)	0	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0
uSGB_41594_(Bacteria_unclassified_phylum)	0	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	1	1	0	0	0	0
kSGB_7041_(Lactobacillus_johnsonii)	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	1	1	0	1	1	0	1	0
kSGB_17279_(Bifidobacterium_pseudolongum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	0	0	0	1	1
uSGB_40323_(Bacteroidetes_phylum)	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	0	0	0	1	1	0	1	0	0
kSGB_35903_(Muribaculaceae_bacterium)	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0
uSGB_35892_(Rikenellaceae_family)	0	1	0	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	0	0	0	1	0	1	1	1	0	0
uSGB_43003_(Ruminococcaceae_family)	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	0	0	0	0	1
kSGB_29426_(bacterium_1xD42_87)	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	0	0	1	1	1	0	0	0	0	0	1
uSGB_40184_(Bacteroidetes_phylum)	0	1	1	0	0	1	1	1	0	1	0	1	1	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1
kSGB_27814_(Bacteroides_acidifaciens)	0	1	0	0	0	1	1	0	1	1	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1
uSGB_41401_(Schaedlerella_genus)	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	1	0
uSGB_35950_(Bacteroidetes_phylum)	0	0	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	1	1	0	0	1	0
kSGB_27768_(Duncaniella_sp_TLL_A3)	0	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0
kSGB_19472_(Mucispirillum_schaedleri)	0	1	1	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	1	0	1
uSGB_40208_(Rikenellaceae_family)	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	1	0	1	0	0	1	0	0
kSGB_27790_(Bacteroides_sp_NM69_E16B)	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	0	1	0	0	1	0	1	0	0	0	0	1	0	0
uSGB_41609_(Lachnospiraceae_family)	0	1	0	0	0	1	1	1	1	1	1	0	1	1	0	0	1	0	1	0	1	1	1	0	0	0	0	0	0
kSGB_7272_(Lachnospiraceae_bacterium_28_4)	0	1	1	0	0	1	1	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	1
uSGB_45231_(Firmicutes_phylum)	0	1	0	0	0	1	1	1	1	1	1	0	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1
uSGB_35952_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	0	1	1	1	0	0	1	1	1	0	0	0	1	0	1	1	0	0	0	0	0	0
uSGB_41589_(Bacteria_unclassified_genus)	0	1	0	0	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0
uSGB_41623_(Lachnospiraceae_family)	0	1	0	0	0	1	0	1	1	0	1	0	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0
uSGB_43438_(Firmicutes_phylum)	0	1	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0
uSGB_43523_(Ruminococcaceae_family)	0	1	0	0	0	1	1	1	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1
uSGB_41663_(Bacteria_unclassified_phylum)	0	1	0	0	0	0	1	1	1	0	1	1	1	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0
uSGB_43504_(Ruminococcaceae_family)	0	1	0	0	0	1	1	1	0	1	1	0	1	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	0
uSGB_41016_(Actinobacteria_phylum)	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0
uSGB_42493_(Eubacteriaceae_family)	0	0	0	1	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0
uSGB_41569_(Bacteria_unclassified_phylum)	0	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0
uSGB_40878_(Proteobacteria_phylum)	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1
uSGB_63771_(Bacteroidetes_phylum)	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0
uSGB_9265_(Sutterellaceae_family)	0	1	0	0	1	1	0	1	1	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1
uSGB_40204_(Rikenellaceae_family)	0	1	1	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	0
uSGB_41513_(Firmicutes_phylum)	0	1	1	0	0	0	1	1	1	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1
uSGB_41645_(Firmicutes_phylum)	0	1	0	0	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	0
uSGB_40889_(Desulfovibrionaceae_family)	0	1	0	0	0	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0
uSGB_40327_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
uSGB_40791_(Odoribacteraceae_family)	0	1	1	0	0	1	1	0	1	0	1	0	1	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0
uSGB_40324_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	0
kSGB_5155_(Lachnospiraceae_bacterium_MD335)	0	1	1	0	0	0	1	1	1	1	0	1	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0
uSGB_40962_(Firmicutes_phylum)	0	1	1	0	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
uSGB_41627_(Lachnospiraceae_family)	0	1	0	0	0	1	1	1	0	1	1	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0
uSGB_40190_(Rikenellaceae_family)	0	1	1	0	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_40885_(Desulfovibrio_genus)	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1
kSGB_21581_(Prevotella_sp_MGM1)	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0
uSGB_40793_(Odoribacteraceae_family)	0	1	1	0	0	1	1	0	1	1	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
uSGB_40070_(Bacteroidetes_phylum)	0	0	1	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_40352_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	1	0	1	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0
uSGB_43075_(Firmicutes_phylum)	0	1	0	0	0	1	1	1	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
kSGB_7269_(Acutalibacter_muris)	0	1	0	0	0	0	1	1	1	1	1	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_43268_(Firmicutes_phylum)	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0
uSGB_43533_(Ruminococcaceae_family)	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0
kSGB_6748_(Clostridium_cocleatum)	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0
uSGB_41650_(Firmicutes_phylum)	0	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0
uSGB_43257_(Firmicutes_phylum)	0	1	1	0	0	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0
kSGB_4974_(Lachnospiraceae_bacterium_10_1)	0	1	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0
kSGB_21961_(Helicobacter_ganmani)	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
kSGB_27780_(Parabacteroides_distasonis)	0	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
uSGB_40789_(Odoribacteraceae_family)	0	1	1	0	0	1	1	1	0	0	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_40934_(Firmicutes_phylum)	0	1	1	0	0	1	0	1	1	1	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_40817_(Bacteroidaceae_family)	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
kSGB_1863_(Bacteroides_caecimuris)	0	1	0	0	0	1	1	0	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kSGB_27766_(Muribaculaceae_bacterium_Isolate_002_NCI)	0	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
uSGB_6588_(Firmicutes_phylum)	0	1	0	0	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_45230_(Firmicutes_phylum)	0	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
uSGB_40196_(Rikenellaceae_family)	0	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
uSGB_40319_(Bacteroidetes_phylum)	0	0	0	0	0	1	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
kSGB_19403_(Helicobacter_apodemus)	0	1	1	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
kSGB_19395_(Helicobacter_hepaticus)	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_41672_(Lachnospiraceae_family)	0	1	0	0	0	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
kSGB_19394_(Helicobacter_typhlonius)	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_40307_(Bacteroidetes_phylum)	0	1	0	0	0	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uSGB_43267_(Firmicutes_phylum)	0	1	1	0	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
kSGB_1941_(Parabacteroides_goldsteinii)	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_41239_(Lachnospiraceae_family)	0	1	0	0	0	1	1	1	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_40182_(Bacteroidetes_phylum)	0	1	1	0	0	1	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_39187_(Tenericutes_phylum)	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_35930_(Muribaculaceae_family)	0	0	0	1	0	0	1	1	0	0	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_63931_(Bacteroidetes_phylum)	0	0	0	0	0	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_40935_(Firmicutes_phylum)	0	1	0	0	0	1	1	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_27012_(Phascolarctobacterium_genus)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
kSGB_7271_(Lachnospiraceae_bacterium_M18_1)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uSGB_41445_(Bacteria_unclassified_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uSGB_40293_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_41596_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_59842_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uSGB_40207_(Rikenellaceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uSGB_40313_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
uSGB_41565_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_41529_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uSGB_41483_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_41606_(Lachnospiraceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_41607_(Lachnospiraceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_41715_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_41434_(Lachnospiraceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
uSGB_42355_(Firmicutes_unclassified_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
kSGB_6789_(Dubosiella_newyorkensis)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
uSGB_40369_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_40318_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_2107_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_2092_(Muribaculaceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
kSGB_6788_(Firmicutes_bacterium_M10_2)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_41720_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
uSGB_65302_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
kSGB_7279_(Lachnospiraceae_bacterium_MD308)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_40879_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_59843_(Lachnospiraceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_41517_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
uSGB_41456_(Bacteria_unclassified_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
uSGB_2085_(Muribaculaceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
uSGB_41022_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
uSGB_40357_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_40332_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
kSGB_29419_(Acutalibacter_sp_1XD8_33)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
uSGB_45257_(Tenericutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_40289_(Bacteroidetes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
kSGB_33579_(Coriobacteriaceae_bacterium)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
uSGB_41021_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
uSGB_41717_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
uSGB_41253_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
uSGB_59828_(Bacteria_unclassified_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_43545_(Ruminococcaceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
uSGB_41486_(Lachnospiraceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
uSGB_44532_(Firmicutes_phylum)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
uSGB_59795_(Lachnospiraceae_family)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
